,Имя,Фамилия,email,username,plain_password,roles,isCV,Открытие поиска,Статус поиска
1,любое значение на латинице  с спец символами,пустое поле,любое значение на латинице не в формате email,пустое поле,Любое значение на кириллице,-,false,сегодняшняя дата,active_search
2,любое значение на латинице  с спец символами,любое значение на латинице,пустое поле,Любое значение на кириллице,пустое поле,admin,true,любая будущая дата,on_project
3,любое значение на латинице  с спец символами,любое значение на латинице  с спец символами,любое значение на латинице в формате email,только спецсимволы ,любое значение на латинице с цифрами,-,-,сегодняшняя дата,-
4,любое значение на латинице  с спец символами,пустое поле,любое значение на латинице не в формате email,пустое поле,Любое значение на кириллице,user,true,любая прошлая дата,active_search
5,любое значение на латинице  с спец символами,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице,только спецсимволы ,-,false,пустое поле,pause_search
6,любое значение на латинице  с спец символами,любое значение на латинице,пустое поле,Любое значение на кириллице,пустое поле,user,-,25.08.2024,on_project
7,пустое поле,пустое поле,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице с цифрами,user,false,25.08.2024,-
8,пустое поле,любое значение на латинице,любое значение на латинице в формате email,пустое поле,только спецсимволы ,user,true,сегодняшняя дата,pause_search
9,пустое поле,любое значение на латинице  с спец символами,любое значение на латинице не в формате email,любое значение на латинице,пустое поле,admin,false,25.08.2024,on_project
10,пустое поле,пустое поле,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице с цифрами,-,-,любая будущая дата,-
11,пустое поле,Любое значение на кириллице,пустое поле,только спецсимволы ,Любое значение на кириллице,user,true,сегодняшняя дата,active_search
12,пустое поле,любое значение на латинице,любое значение на латинице в формате email,пустое поле,только спецсимволы ,admin,-,любая прошлая дата,pause_search
13,пустое поле,любое значение на латинице  с спец символами,любое значение на латинице не в формате email,любое значение на латинице,пустое поле,-,true,пустое поле,on_project
14,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице в формате email,любое значение на латинице,любое значение на латинице с цифрами,user,-,пустое поле,-
15,Любое значение на кириллице,любое значение на латинице,любое значение на латинице не в формате email,Любое значение на кириллице,Любое значение на кириллице,admin,true,25.08.2024,active_search
